id,fr,en,start,end,species
1,zone,zone,1,3,mackerel
2,voyage,trip,4,6,mackerel
3,annee,year,7,10,mackerel
4,mois,month,11,12,mackerel
5,jour,day,13,14,mackerel
6,type,type,23,24,mackerel
7,engin,gear,25,28,mackerel
8,no_prel,id,29,32,mackerel
9,longp,length,33,35,mackerel
10,pdind,weight,36,41,mackerel
11,sexe,sex,42,42,mackerel
12,stad_mat,matur,43,43,mackerel
13,pdgon,wgonad,44,49,mackerel
14,age_f,agef,53,54,mackerel
15,s_ech,sample.id,55,60,mackerel
16,s_cbiol,sample.cbiol,61,66,mackerel
17,s_rcbiol,sample.recbiol,68,73,mackerel
18,age_1,age1,75,76,mackerel
1,type,type,1,1,cod
2,no_prov,province,2,2,cod
3,no_dist,district,3,4,cod
4,no_voy,trip,5,7,cod
5,opano,nafo.sub,8,11,cod
6,jour,day,12,13,cod
7,mois,month,14,15,cod
8,annee,year,16,19,cod
9,t_exp,activity,20,21,cod
10,engin,gear,22,25,cod
11,maille,mesh,26,28,cod
12,prof,depth,30,32,cod
13,no_prel,id,36,38,cod
14,longueur,length,40,42,cod
15,sexe,sex,45,45,cod
16,age,age,46,47,cod
17,ech_id,sample.id,48,53,cod
18,nbpc,nbpc,55,60,cod
